year,section,rank,title,market,distributor,release_date,gross_label,gross_ngn,page,source_url,criteria,notes
2019,top_20_hollywood_2019,13,Alita: Battle Angel,Hollywood,,,N112M,112000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_hollywood_2019,14,Maleficent 2,Hollywood,,,N100M,100000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_hollywood_2019,15,Dark Phoenix,Hollywood,,,N97M,97000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_hollywood_2019,16,Terminator,Hollywood,,,N87M,87000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_hollywood_2019,17,Joker,Hollywood,,,N79M,79000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_hollywood_2019,18,Gemini Man,Hollywood,,,N78M,78000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_hollywood_2019,19,21 Bridges,Hollywood,,,N70M,70000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_hollywood_2019,20,Little,Hollywood,,,N67M,67000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,1,Living in Bondage,Nollywood,,,N158M,158000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,2,Merry Men 2,Nollywood,,,N140M,140000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,3,Bling Lagosians,Nollywood,,,N120M,120000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,4,Your Excellency,Nollywood,,,N117M,117000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,5,Sugar Rush,Nollywood,,,N95M,95000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,6,The Set Up,Nollywood,,,N53M,53000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,7,Mokalik,Nollywood,,,N46M,46000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,8,Love is War,Nollywood,,,N31M,31000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,9,Elevator Baby,Nollywood,,,N30M,30000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,10,Gold Statue,Nollywood,,,N30M,30000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,11,Muna,Nollywood,,,N29M,29000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,12,KnockOut,Nollywood,,,N27M,27000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,13,Kasanova,Nollywood,,,N22M,22000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,14,Survival of Jelili,Nollywood,,,N21M,21000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,15,Hire a Woman,Nollywood,,,N20M,20000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,16,The Millions,Nollywood,,,N18M,18000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,17,The Call,Nollywood,,,N17M,17000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,18,The Enemy I Know,Nollywood,,,N16M,16000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,19,The Reunion,Nollywood,,,N15M,15000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
2019,top_20_nollywood_2019,20,She is,Nollywood,,,N15M,15000000,17,https://online.fliphtml5.com/ogfbg/euke/#p=17,"Top 20 visual ranking; titles released between Jan. 1 and Dec. 31, 2019. Amounts are rounded as printed.",
