id,title,is_published,view_count
c45d10e2-1e84-4286-ad76-e33abd7bb824,"Aníkúlápó Series Season2: The Ghoul Awakens ｜ Official Trailer",true,122904
e44ca6f8-e810-45b5-8465-7ecf92a25676,"Another Side of Royalty 5&6 (teaser)",true,0
87adb4fb-dbe6-420f-b166-473f28861691,"Another Side of Royalty 7&8 (teaser)",true,0
8f7d39af-a35b-4519-b266-6039f118a741,"Apata Trailer I",true,0
2bfe79f4-4d84-4c00-8f36-cfbe8272479e,"ARA ILE Official Trailer",true,0
7a0ef69e-1168-47bc-b653-61745a1e3295,"Arokan Official Teaser Showing Next on Yorubaplus",true,0
4728d415-1a62-4b96-8788-f0085986b608,"Arokan Official Trailer on Yorubaplus",true,0
83992016-d7c5-4781-bb74-dfaae3ddc71a,"Arowosaye Official Teaser on Yorubaplus",true,0
44b65957-b199-4140-9081-4daad8e93afb,"Arowosaye Official Teaser Showing Next on Yorubaplus",true,0
3567b57c-80ba-49ad-b7c0-cec1c7cd0126,"Arowosaye Official Teaser Showing Tomorrow on Yorubaplus",true,0
2cf143a3-6e3a-42a7-ae72-7e3e9e892410,"Ashes of Abeni Official Trailer on Yorubaplus",true,0
e76c785f-24e8-4a3c-85fc-029010d36f7a,"Ashes of Abeni Official Trailer Showing Next on Yorubaplus",true,0
19a2437c-c5b5-4cad-9af1-de2e2f659dcf,"Ashes of Abeni Official Trailer Showing Tomorrow on Yorubaplus",true,0
4e14522c-0484-4b99-82ea-2a6decd2e494,"Asinge Official Trailer on Yorubaplus",true,0
e7f252c9-3d49-4862-833e-fa7a1ddd8134,"Asinge Official Trailer Showing Tomorrow on Yorubaplus",true,0
94eb904e-af6b-457e-92d8-1818df66b6ae,"Asiri Fitila Official Teaser Showing Next on Yorubaplus",true,0
cc47d50e-cc0a-4639-98e1-579984920079,"Asiri Fitila Official Trailer Showing Tomorrow on Yorubaplus",true,0
553345d8-717c-4874-b087-b2f46e795649,"Asiri NI - Official Trailer",true,0
77867d3a-f2e3-49cd-86b1-75b8e572efc6,"Asise EDA - Official Trailer",true,0
41742a78-3346-4c4a-bb34-d84678b400fc,"Atopinpin Trailer Lronke Oshodi Oke L Ebun Oloyede L Debby Shokoya L Oluwakemi Iyanda L Aliu Gaffar",true,0
19226ce1-30e6-4a64-b819-cb80d3e6d3a1,"Atrocity Official Trailer on Apatatv+",true,0
c4551e0a-fa2e-4aed-9be5-8ef295bf8332,"Atrocity Official Trailer Showing Tomorrow on Apatatv+",true,0
0709811e-3d88-41b5-95df-5a1e90f92e4b,"Atunbi Trailer",true,0
276e4726-9d55-4578-bca0-b768934e3063,"Awele Olobi Official Trailer Showing Next on Yorubaplus",true,0
e0ef5817-55a3-496d-a9e9-5b0cbbea4775,"Awero Official Trailer Showing Next on Yorubaplus",true,0
81cc8d25-9ea1-4632-a1f3-ef1506c0c274,"Ayederu Official Trailer on Yorubaplus",true,0
064125c8-ca35-430c-8c1d-8b6a83f587e8,"Ayetimowa Official Trailer Showing Next On Yorubaplus",true,0
49c0dd57-6f37-42ba-8819-3246816acdd0,"Baami Trailer/ Yoruba NEW Movie by Jide Kosoko.",true,0
ca435796-b246-4490-bcdf-6330b089e338,"Baba Rere Official Trailer Showing Next on Yorubaplus",true,0
869ee843-c315-4b49-8157-a02d16b9510e,"Baba Rere Official Trailer Showing Tomorrow on Yorubaplus",true,0
0a8a0005-c3bd-48f8-b459-10d819f3f283,"Babarimisa Official Trailer Showing Next on Apatatv+",true,0
4e793d0b-161c-485d-8b91-90ffb081308b,"Baddie Appreciation Post .",true,0
659120ba-5233-4d8a-ba7a-6badf4dd6cd5,"Bantale Official Trailer Showing Next on Yorubaplus",true,0
5c2d8193-5629-4f68-92c9-0488c41b29e8,"Before The King 3&4 Teaser",true,0
30cdfa3a-5c9a-43c3-9ed8-5ff183e2186a,"BEFORE THE KING 5&6 TEASER",true,0
aa7fca21-9293-473a-990a-10e05172a038,"BEFORE THE KING 5&6 TEASER - Lizzy Gold / Sochi Infinity",true,59524
a9cbbfbd-48a5-420c-95a1-dff38d9fa753,"Behind The Scenes",true,0
1fc7757f-53e9-40f1-bc9e-9b811018ab7e,"Beside Love Trailer",true,0
00e3998e-3d55-4323-ac53-05ad3776ecf5,"Best Friends in the World: the Year Between (new Movie Trailer)",true,0
fe1dc78f-9a60-4089-ac07-141d8ebff562,"Bestie Oko Mi 2 Official Trailer on Yorubaplus",true,0
bd6c13cf-56e3-4044-8376-67b1cda75f96,"Bestie Oko Mi 2 Official Trailer Showing Tomorrow on Yorubaplus",true,0
6ac6be9b-a635-4182-9a5f-0020472f0048,"Bestie Oko Mi 2 Official Trailer Showing Tuesday on Yorubaplus",true,0
e8fc14ea-76ed-42b5-a488-6e7eadd4c02a,"Bestie Oko Mi Official Trailer On Yorubaplus",true,0
6a8c8b82-1c52-4f6e-bc85-6908880b2358,"Bestie Oko Mi Official Trailer Showing Tomorrow on Yorubaplus",true,0
0cb59992-b268-486b-872d-b6bb9da19e34,"Bestie Oko Mi Official Trailer Showing Tuesday on Yorubaplus",true,0
9133a9dc-7517-42de-9547-c5a1fb35fbdc,"Black Brilliant & Bold Trailer",true,0
871efeb5-02e4-4f62-97eb-3905e22a496f,"Bloody Death(official Trailer)~ Maleek Milton, Sochi Infiniti Full",true,0
11d91c6b-f1c2-445e-b4db-dcc534d5da51,"Bro Code Trailer",true,277
0a8360f2-2b6b-4e23-b282-38a10100d5dc,"Broken Mirrror 3&4 Teaser",true,0
e99f05b2-dc34-4c38-ada1-02d803a78ca8,"Bury HIM 2 Teaser- Lizzygold Onuwaje, YUL Edochie - Drops Tomorrow by 5pm",true,0
13566d4e-0e41-4ca6-a30d-a7b5aebdd414,"Bury the Prince 5&6 Teaser",true,0
1bfd0602-ad1a-4365-8076-fa842351d61a,"Canadian Kids Birthday Party Highlights + Teaching Afro Dance Steps",true,0
a5ecc19f-8233-4187-aac4-2de3c83def3f,"Ceaseless Official Trailer Showing Next on Yorubaplus",true,0
f07fd066-f2b7-4e38-ac4e-db0b75c614d9,"Celebrity Reactions to Chuck Norris' Death",true,1224
a5ed2b87-7132-43e5-8274-9df39c78ea98,"Chasing After Love Trailer",true,0
b75c9acd-b4ef-4a2e-a79b-756efc15b1ff,"CLASH OF ROYALS 3&4 TEASER",true,0
25f30f84-add9-4a21-8796-99d4b75b27d8,"CLASH OF ROYALS 5&6 TEASER",true,0
6bd32192-62d6-4778-b610-38c051ab6dd8,"Colours of Fire (beast Interview)",true,0
07bb94f6-eb45-4131-8e32-d0209e2a50a4,"Colours of Fire Adire Documentary Teaser",true,0
d8b83e05-d73f-432e-a808-7098886fd7d8,"Damifunre Official Trailer a Powerful Story on Bullying",true,0
6772264b-d1d6-45b5-aef8-cb65217618b9,"Damipe Official Trailer Showing Tomorrow on Yorubaplus",true,0
4f8e947f-98c1-4660-955d-14deefe0199c,"Dangerous Bead Official Trailer",true,0
023d4f1c-49bd-4aba-8121-c41291451e5f,"Dangerous Love 2 Official Teaser on Yorubaplus",true,0
6683dc53-5372-4187-9685-28c922915fbb,"Dangerous Love 2 Official Teaser Showing Tomorrow on Yorubaplus",true,0
546828e8-e791-4acb-a563-cc6f9397df64,"Dangerous Love Official Trailer on Yorubaplus",true,0
13fdd7cd-8d08-4f8f-a05b-5a17c58c5c0d,"Dangote MY In-law 3&4 Teaser",true,0
2a35555d-db04-4e7b-9c8f-c143e3398913,"Daniel Effiong and Chinonso Arubayi Star in Asfl Coming November 5th- Teaser",true,0
cf4235fa-9aab-44d7-ac0e-6604c5f8f98d,"Dela - The Making Of El Anatsui",true,757
d2691e41-c4ab-4b4a-8cc5-464f32833f38,"Demon Trailer",true,0
33f79083-24cd-4dab-b0c4-1b1e3c38b7df,"Doctor's Love(official Trailer)~ Stephen Odimgbe, Chizoba Nwokoye Full",true,0
01ce0065-b25b-450e-a815-cd17a3f3eb76,"Door of NO Return(teaser 2)",true,0
a4374b69-5efd-483f-a633-9afcffd801b2,"Drums of the Masquerade(official Trailer)~ Frederick Leonard, Lizzy Gold",true,0
83666203-e51f-4758-9ffd-e000d99fe7a5,"Drums of the Masquerade(teaser 2)frederick Leonard, Lizzy Gold",true,0
806776cf-f162-46c4-9f97-f2a9a5aff010,"Ebako (full Interview)...",true,4022
35f3001a-1df7-4a39-91ad-2a9e8221d54c,"ECHO BEFORE THE WEDDING - TRAILER",true,1035776
557ae1ec-add0-4d56-9a24-81c98c696c13,"Egan Ore Official Trailer on Apatatv+",true,0
33495a4a-a3ac-4ed0-ab4c-1f6862ab8775,"Egan Ore Official Trailer Showing Next on Apatatv+",true,0
83b3e4a7-ff25-44d6-8a7c-c09201be3768,"Egan Ore Official Trailer Showing Tomorrow on Apatatv+",true,0
94e63fe6-4e8f-4072-ab7d-ac04648b8bb4,"Egbeji Director Interview",true,0
7eadb595-be4f-474d-8635-780de4dbe08d,"Ẹ̀gbẹ̀jí Trailer by Samuel ""ajirebi"" Olasehinde",true,0
880cf86c-3aad-4282-870e-38879836f787,"Ẹ̀gbẹ̀jí Trailer by Samuel ""ajirebi"" Olasehinde @officialsamuelajirebi",true,0
e5897a1d-1054-4a91-b625-c9bd626d347f,"Elegbeje ADO Official Trailer",true,0
78bf1eb4-3ae0-4594-8975-26ef1ad634bb,"Elulu- Comedy Official Trailer",true,0
9356c9a1-a434-46d4-b6f8-1555c4bc2cd5,"Emere Meta Trailer",true,0
e211e3b6-7f23-43ea-bd20-753c6d878623,"EMI (soul) Trailer",true,0
958a29bd-0c12-4036-94fd-79395028a1a9,"Eniketa 2 - (showing Now!!!) Trailer",true,0
4d3fb6f2-b75f-4a2c-8ab8-29624569aa44,"Eniketa 3 (showing Now!!!) - Movie Trailer",true,0
5b21a43f-d55b-442c-b43e-3fa4f4622c77,"Episode 1: Making Of Afang Soup With Wofai Fada",true,0
85fb1055-4eef-43da-9169-f30624c47c2c,"Episode 2: Making Of Yam Porridge With Wofai Fada",true,0
d2abd3c4-b793-42f5-9583-a15b1b4df416,"Ere Maami - Official Trailer",true,0
dff48c40-e3ec-40c1-a32d-cf76790ec497,"Eri Ife Official Trailer on Apatatv+",true,0
e0249822-fd6d-4e5d-a373-1e79fd460a77,"Eri Ife Official Trailer Showing Tomorrow on Apatatv+",true,0
ed0e844a-3610-4627-a77f-b1bab8d0461d,"Erioluwa Official Trailer Showing Next on Yorubaplus",true,0
a6518817-ef71-4e5c-a86e-a40ac2ee6051,"Eru Werey Official Trailer Showing Next on Apatatv+",true,0
6606b5ee-a26f-4e01-9502-9a09dec60965,"Eshin Oyinbo Official Teaser Showing Next on Yorubaplus",true,0
5d6398d4-5302-49d7-bfc2-70b4e56676d0,"Esugbayi Trailer....... New Movie by Jide Kosoko",true,0
146638b0-0460-4982-ae99-135c35348d4c,"ETO Oluwa Official Trailer Showing Soon on Aishatlawaltv",true,0
